이름,2025 코멘트,강도,번호,생성일,연도,장소,층위,카드 ID,태그,형식
강도 구조,,M,1,2013년 3월 6일,2013,,Study,S-2013-001-M-IMG,"들뢰즈, 철학",IMG
사진 저널,"살고 있는 도시에 레이어드된 풍경들을 주로 찍었다. 도로위에 드리운 다른 도로의 그림자, 겹겹이 쌓이는 유리 재질의 난간과 문이 서로 얽히며 만들어내는 기하학적 조형성이 새로운 풍경으로 다가왔다. 내 주변의 자연이란 매일 눈에 들어오는 실제 주변의 환경이 아닐까 생각했다.",L,2,2016년 6월 13일,2016,대구,Unconsciousness,U-2016-002-L-IMG,"사진, 일기, 작업",IMG
김수자 개인전 / 마음의 기하학,"위대한 예술가, 훌륭한 예술가, 좋은 예술가로 예술가를 구분한다면 위대한 예술가로 회자될 김수자 작가의 개인전에서 작가님을 실제로 만났다. 들숨과 날숨, 씨실과 날실, 흐르는 물과 목구멍에서 밀어내는 가글하는 물을 통해 모든 사물의 작용과 반작용에 대해 느낄 수 있었다고 감상을 전했던 기억이 난다. 김수자 선생님은 이후 2023년 Frieze Seoul 에서 토크 프로그램 운영을 도우며 다시 만났다. 이때 만큼의 감동은 없었지만 토크 내내 꼿꼿이 솟은 허리는 여전했다.",H,3,2016년 8월 18일,2016,국립현대미술관 서울,Art,A-2016-003-H-IMG,예술,IMG
감각의 증상 전시,,H,8,2016년 12월 14일,2016,"계명대학교, 대구",Art,A-2016-008-H-IMG,"사진, 예술, 작업",IMG
대학 졸업장,대학 졸업장. 나는 지방 사립대라는 보이지 않는 꼬리표를 만들어 달고 다니며 나 스스로를 끊임없이 제한했다.,L,1,2017년 2월 17일,2017,"계명대학교, 대구",Life,L-2017-001-L-IMG,,IMG
"영웅의 모험 ","조셉 캠벨의 <천의 얼굴을 가진 영웅>을 갤러리 대표와 Jin과 함께 읽으며 정리한 내용을 공유했다. 이 책을 읽는 내내 시련을 직접 겪는 것 같아 괴로웠지만 —특히 잔인하고 끔찍한 신화들을 글자로 읽는 것을 당시에는 견디기 어려웠다— 삶에서 어떤 고난을 겪게 되더라도 영웅의 모험을 겪는 것이라 여기며 돌파할 수 있게 되었다. 정신력(정신 승리)의 근간이 된 책. 당시에도 나는 사랑에 관심이 많았고, 애인과의 관계 역시 하나의 여정으로 생각하고 싶었지만, 내가 어디로 가든 그건 혼자만의 모험이었다. 영웅의 모험이란 결국 혼자 떠나야 하는 것이다.",H,2,2017년 4월 29일,2017,"집, 대구",Study,S-2017-002-H-IMG,신화,IMG
Museum Association Membership,"2017년도 그랜드 투어를 떠나기 위해 런던 뮤지엄 어소시에이션 멤버십 카드를 발급했다. 영국에 있는 900개 이상의 뮤지엄, 갤러리, 특별전을 카드 하나로 모두 방문 및 관람할 수 있다. 이 카드로 내셔널 갤러리, 빅토리아 앤 알버트 뮤지엄, 영국 박물관, 내셔널 초상화 뮤지엄, 코톨드 갤러리 등 여러 곳을 다녀왔다.",M,3,2017년 6월 3일,2017,"런던, 영국",Art,A-2017-003-M-IMG,"여행, 예술",IMG
개인 과제,"2017 그랜드투어를 떠나기 전 갤러리 대표에게 개인 과제를 받았다. 막상 갔을 때 나는 교통, 숙소, 티켓 등 운영 전반을 담당하고 있었기 때문에 과중한 책임으로 스트레스가 매우 높아 개인 과제를 제대로 기록하지 못했다. 몇 가지 강렬한 기억만 몸에 남아 있는데 그건 어떻게 재료로 만들 수 있을지 모르겠다. 이 노트가 기억나지는 않았지만 이 과제는 내가 어딘가에 갈 때 어떤 것을 보고 느껴야 하는지 기준을 세우는 기본적인 가이드가 되었다.

당시에는 아트 필드에서 계속 일을 하고 나의 사업을 할 것이라 생각했다.",M,4,2017년 6월 6일,2017,대구,Work,W-2017-004-M-IMG,"일기, 작업",IMG
자료들,"이미지, 노트, 낙서, 기록들을 보는 것은 늘 즐겁다. 사실 이 Sencyclopedia 역시 이런 물리적인 재료들로 만들고 싶은 마음이 컸지만 작업 규모와 투입 시간을 고려해서 디지털 작업으로 결정하게 되었다. 이런 자료들을 볼 때마다 무엇인가 남기고 싶은 욕망이 가득해진다.",L,5,2017년 6월 10일 → 2017년 6월 11일,2017,,Art,A-2017-005-L-IMG,예술,IMG
FEAR EATS THE SOUL,"아트 바젤에 걸려있던 수억원의 작품들보다 이 작품이 눈에 더 들어왔다. 두려움에 사로잡혀 온 몸을 경직시키고 다니던 때다. 무엇이 그렇게 두려웠던 걸까. 지금도 마찬가지지만 세상도 나도 훨씬 모를 때인 17년도에 나는 나 자신이 가장 두려웠던 것 같다. 무엇을 얼마나 할 수 있을지, 어떤 것을 할 수 없는지 알지 못해서 였을까. FEAR EATS THE SOUL은 리크릿 티라바니자 Rirkrit Tiravanija라는 예술가의 작품인데, Rainer Werner Fassbinder라는 독일 영화 감독의 동명의 영화 <Angst essen Seele auf>에서 차용한 것이다. 리크릿 티라바니자는 1961년 아르헨티나 부에노스 아이레스에서 태어났다. 원작 영화도 한 번 보고싶다.",M,6,2017년 6월 17일,2017,"아트 바젤, 바젤, 스위스",Unconsciousness,U-2017-006-M-IMG,예술,IMG
호주 들판 사진,호주 Great Ocean Road 투어 중에 만난 들판을 찍은 사진. 낮고 엷은 색의 다양한 수풀이 모여있는 모습이 아름다웠다. 무해하고 단출해 보이는 동시에 생존을 향한 생명력이 강하게 느껴지는 삶의 양태를 지향한다는 생각을 했다.,L,1,2014년 1월 25일,2014,"Great Ocean Road, 호주",Life,L-2014-001-L-IMG,사진,IMG
가로등 사진,도심 속 인공물들이 만들어내는 우연한 조형성들에 매료되어 있을 때다. 이 사진은 유럽 배낭여행 중인데 어느 나라에서 찍은 것인지 모르겠다. 벽에 달린 가로등이 특이하면서도 벽면이 화면의 반 이상을 가리면서 표지판과 가로등의 캔버스 역할을 하는 것이 마음에 든다.,M,2,2014년 8월 3일,2014,"파리, 프랑스",Art,A-2014-002-M-IMG,"사진, 예술, 작업",IMG
루브르 박물관 커튼,"루브르박물관에서는 예술 작품보다 창가에 드리운 블라인드에 시선을 사로잡혔다. 창틀과 창틀의 그림자, 그림자가 비치는 베일, 너머로 옅게 보이는 구름과 베이지톤 모두 좋다.",L,3,2014년 8월 11일,2014,"파리, 프랑스",Art,A-2014-003-L-IMG,"사진, 예술, 작업",IMG
바우하우스 대학 썸머스쿨 Design Basics,"독일 바우하우스 대학 썸머스쿨 Design Basics 강의를 들었다. 종이, 풀, 가위를 갖고 점, 선, 면의 기초 도형으로 조형성을 탐구하는 수업이었다. 점과 선을 이용해서 화면을 구성해보고, 마지막에는 The journey of Dot을 주제로 팀 프로젝트를 진행했다. 이집트, 페루, 일본, 벨기에, 독일 등 다양한 나라의 친구들과 함께하는 작업은 무척 즐거웠고 모두 적극적으로 수업에 참여하는 모습이 자극되기도 했다. 모두의 의견을 모아 결정한 Most Interesting한 과제에 뽑혀 기뻤지만, 나는 페루에서 온 베로니카의 화면을 처음 봤을 때의 충격이 잊혀지지 않는다. 다른 크기의 점들을 오직 배치만을 이용해 균형과 긴장감을 만들어 내서 놀란 것이다.",M,4,2014년 8월 19일 → 2014년 8월 29일,2014,"바우하우스 대학, 바이마르, 독일",Art,A-2014-004-M-IMG,"공부, 여행, 예술",IMG
Blau,,L,1,2015년 2월 14일,2015,"동해와 서해 어딘가, 계명대학교, 대구",Art,A-2015-001-L-IMG,"사진, 작업",IMG
St. Ives,"세인트 아이브스는 영국의 작은 항구 도시다. 조형 언어를 탐구하는 세미나에서 방문했다. 세인트 아이브스는 작은 항구 도시이지만, 영국 미술사에서 중요한 곳이기도, 로컬 미술 씬이 활발한 곳이기도 하다. 지금 내게 기억에 남는 것은 물 빠지고 빛 바랜 색이 가득한 바닷가 마을과 일을 마친 어부들이 들를 것 같은 오래된 펍에서 마신 에일, 그리고 마을과 달리 선명한 무지개였다. 이곳에서 나는 난생 처음으로 그림을 구입했다.",M,1,2016년 2월 21일,2016,"St. Ives, 영국",Art,A-2016-001-M-IMG,"사진, 예술",IMG
KIAF 2016,이때만 해도 내가 Kiaf에서 일을 하게 될 것이라고는 생각도 하지 못했다.,L,4,2016년 10월 14일,2016,"코엑스, 서울",Art,A-2016-004-L-IMG,예술,IMG
HONEY MOON MOTEL,허니문 호텔이라는 이름과 달리 을씨년 스러운 분위기가 마음에 들어서 찍다. 곧 무슨 일이 일어날 것 같음.,L,5,2016년 10월 16일,2016,"팔공산, 대구",Art,A-2016-005-L-IMG,사진,IMG
프라작타 포트니스,"바느질, 2009
당신이 밖을 볼 때까지 벗기고 또 벗기고, 2014

광주비엔날레에서 본 작품. 미세한 균열도 작품이 될 수 있다는 것을 알았다.",L,6,2016년 11월 1일,2016,"광주 비엔날레 전시관, 광주",Art,A-2016-006-L-IMG,예술,IMG
창문들,창문들에 매료되어 있을 때.,L,7,2016년 11월 9일,2016,"계명대학교, 대구",Art,A-2016-007-L-IMG,"사진, 예술, 작업",IMG
우리 안의 더 깊은 힘을 찾아내는 기회,,H,1,2025년 4월 10일 오전 11:18 (GMT+9),2018,"집, 대구",Unconsciousness,U-2018-001-H-MIX,"삶, 신화",MIX
힘소비의 극대경제와 영원회귀,"힘에의 의지는 맹목적으로 나아가고, 싸우고, 이기고, 힘을 방출하는 것. 최대의 힘을 방출한 힘에의 의지는 본성으로 돌아와 다시 나아가기를 반복한다. 끊임없이 나아가려는 힘, 그것이 영원히 반복된다는 것이 좋았다. 다른 모든 것은 영원회귀의 효과이자 힘의 부산물, 반향이 되었고, 나는 언제든 영원회귀의 층위로 돌아올 수 있게 되었다. 이 인식은 내가 우연을 받아들이게, 들뢰즈를 공부하게, 삶을 사랑하게 만들어주었고 아직까지도 삶에 깊은 영향을 미치고 있다.",H,1,2025년 4월 10일,2019,"홍익대학교, 서울",Study,S-2019-001-H-MIX,"공부, 삶, 철학",MIX
"가상이나 속임수로, 오류, 허무주의","왜인지 페이퍼에 기름이 묻어 아래 편 글이 비쳤다. 비친 글자가 가상이나 속임수, 오류, 허무주의 같은 것인 게 묘해서 찍었다.",L,2,2025년 4월 10일,2019,"홍익대학교, 서울",Study,S-2019-002-L-IMG,"공부, 작업",IMG
"가상계, 브라이언 마수미","목동 살 때 근처에 카페가 많지 않아 아파트 상가에 있는 카페들을 돌아다녔다. 혼자 커피를 마시며 책을 읽고 있는데 옆 테이블인지 사장님이(아마 옆테이블이 사장님의 지인인 듯 했다) 토마토 바질 피자 한 조각을 주셨다. 목동은 전반적으로 카페에서도 중고등학생들이 과외를 하거나 학원 중간에 비는 시간을 간식과 음료로 떼우는 분위기였는데, 그래서 줬나 보다(?). 

책에 비밀스레 적힌 기술(’그 자신이 (아무리 미약해도) 현실에 첨가된 것일 뿐이라는 사실을 자백하기를 두려워하지 않는 기술’ 같은)을 발견해 삶에 몰래 적용해 보기를 시작했다.",M,5,2025년 4월 10일,2020,"목동 5단지아파트, 서울",Study,S-2020-005-M-IMG,"공부, 철학",IMG
큰 차이와 작은 차이,,H,4,2025년 4월 10일,2020,"드로즈 스터디, 목동, 서울",Study,S-2020-004-H-IMG,"공부, 들뢰즈, 철학",IMG
생기의 필연성,그야말로 생기!,H,3,2025년 4월 10일,2020,"홍익대학교, 서울",Study,S-2020-003-H-IMG,"공부, 철학",IMG
도덕에 대한 정의,,H,2,2025년 4월 10일,2020,"홍익대학교, 서울",Study,S-2020-002-H-IMG,"공부, 철학",IMG
나는 아주 투명하게 들여다보이고 싶다.,,H,1,2025년 4월 10일,2020,"맞배집, 대전",Life,L-2020-001-H-IMG,삶,IMG
"삶에 희망이 있다는 말은,",오글거리는 이런 말도 부여잡고 싶었던 걸까.,L,6,2025년 4월 10일,2021,"창전동, 서울",Life,L-2021-006-L-IMG,삶,IMG
살아서 보는 것,,L,5,2025년 4월 10일,2021,"고성리, 서귀포시, 제주",Life,L-2021-005-L-IMG,삶,IMG
"안개 1, 2",이 작품을 보고 나의 첫 소설 <차이 반복의 실험>이 시작되었다.,M,4,2025년 4월 10일,2021,"문화역서울284, 서울",Art,A-2021-004-M-IMG,"예술, 작업",IMG
토요일 계획,,L,3,2025년 4월 10일,2021,"창전동, 서울",Life,L-2021-003-L-IMG,삶,IMG
정오에 이미 밤이 시작된다,"‘양이 최대의 크기에 이르면 음의 어두운 힘이 양의 내부에서 생겨’난다는 말은 니체 힘에의 의지에 대해 배웠을 때 최대의 힘을 방출하고 다시 본성으로 돌아가는 순환을 일깨웠다. 그러고보면 2016년도 부터 쭉 내게는 ‘순환’이 매우 중요한 키워드였다. 지금 생각해보면 나는 들뢰즈의 ‘강도’와 ‘평면’ 개념도 순환과 엮고 싶었던 게 아닐까 싶다. 강도 발생은 무한히 순환하고, 평면은 순환이 일어나는 장.",M,2,2025년 4월 10일,2021,"목동집, 서울",Life,L-2021-002-M-IMG,"공부, 삶",IMG
그냥 일어나게 내버려두는 것,,H,1,2025년 4월 10일,2021,"목동집, 서울",Unconsciousness,U-2021-001-H-IMG,"공부, 삶",IMG
제주에서 쓴 가사,,L,1,2025년 4월 10일 오후 12:11 (GMT+9),2022,"이호일동, 제주",Life,L-2022-001-L-MIX,작업,MIX
개인적인 의례,"진과 함께 한 해 동안 떠나보내야 할 것들, 새해에 바라는 것들을 종이에 적어 접고 태웠다. 종이가 불에 타자 아주 깨끗한 마음이 되었다.",H,3,2025년 4월 13일,2018,"진의 집, 목동, 서울",Unconsciousness,U-2018-003-H-IMG,"삶, 신화",IMG
윤리-미학정치,"발제문의 “ㅋㅋ”를 보니 왠지 지윤의 발제문이었을 것 같다. 최근에는 미학적 삶이란 불교 공사상을 넘어서 다시 강도의 드라마화 운동을 긍정하는 것이라는 생각을 했다. 판단력 비판을 다시 읽어야지 읽어야지 하면서 아직 읽고 있지 않다. 보편의 쾌는 모르겠고, 판단력 비판을 실천하며 살아가는 데에는 감절(甘節), 주역 수택절의 달콤함은 분명 만나게 될 것이라 생각한다.",M,2,2025년 4월 13일 오후 7:38 (GMT+9),2022,"드로즈 스터디, 서울",Study,S-2022-002-M-MIX,"들뢰즈, 철학",MIX
내 자신의 운명을 만난 날,나는 작가가 되겠다.,H,2,2025년 4월 13일,2018,대구 본가,Unconsciousness,U-2018-002-H-IMG,"삶, 예술, 작업",IMG
인현의 시,"공주 여행에서 혼자 먼저 떠나게 되었을 때 인현이 작은 종이에 시를 써서 주었다. 그로부터 3년이 지났고 우린 많은 것을 함께 했다. 나는 아직 답시를 쓰지는 못했고, 이제 먼저 떠날 일도 별로 없지만 이 시는 가끔 기억나서 공주의 그 작은 방을 떠올리게 한다. 다같이 모여 앉아 누군가에게 편지를 쓰던 우리와 무엇인가 생겨나려하는 공주의 골목들.",L,1,2025년 4월 18일 오전 8:39 (GMT+9),2023,공주,Life,L-2023-001-L-MIX,"삶, 여행, 예술",MIX
연민과 고통,"연민과 고통 모두 엄숙하고 부단한 것에 마음을 빼앗기게 하는 것인데, 나는 당시 둘 중 공포의 감정에 사로잡혀 있었던 것 같다. 마음이란 이렇게 엄숙하고 부단한 것에 그 자신을 빼앗겨 버리는 것이라면, 성숙해진다는 것은 보이지 않는 원인과 하나 되는 것이 아니라 고통 받는 사람과 하나될 수 있는 사람이 되는 것 아닐까. 그리고 그 고통 받는 사람이 자신이 아니라 타인일 때, 그 고통이 타인의 것만이 아님을 알 때.",M,3,2025년 4월 20일 오후 4:23 (GMT+9),2019,"목동, 서울",Unconsciousness,U-2019-003-M-MIX,삶,MIX
원환적 시간,"<차라투스트라는 이렇게 말했다>의 “영원회귀”에 대해 언급되는 부분에서 차라투스트라가 난쟁이(난쟁쓰)와 만나는 장면. 지금 보면 이 도식은 잘못 그린 것이 분명해 보인다. 차라투스트라가 자신의 아이디어를 두려워하며 설명하려고 했던 것은 끊임없이 영원으로 뻗어나가는 순간들과 존재했던 순간으로 우리가 영원히 되돌아온다는 사실이기 때문에. 이 대목으로 니체의 영원회귀 사상이 명료하게 설명되지는 않지만, 난쟁이와 차라투스트라의 이 난해한 대화는 내게 아주 오래 남았다.",H,4,2025년 4월 20일 오후 4:32 (GMT+9),2019,"홍익대학교, 서울",Study,S-2019-004-H-MIX,"공부, 삶, 철학",MIX
차라투스트라는 이렇게 말했다,"<차라투스트라는 이렇게 말했다>는 내가 홍익대학교 대학원 미학과를 선택하게 한 가장 큰 이유였다. 2018년도 말에 이 책을 읽고 일주일 만에 입시 원서를 준비했다. 입학 후 첫 학기 수강신청 때 마침 <차라투스트라는 이렇게 말했다> 강독 수업이 있었다. 지금 생각해도 운명 같기만 하다. 내가 혼자 느꼈던 것들을 강의를 통해 확신하고, 이해하지 못했던 부분들을 낱낱이 살필 수 있어 짜릿했던 한 학기였다. 지금 다시 책을 펼쳐보니 책 중간이 떨어져 있다. ",H,5,2025년 4월 20일 오후 4:45 (GMT+9),2019,"홍익대학교, 서울",Study,S-2019-005-H-MIX,"공부, 삶, 철학",MIX
인간의 형식,"2021년도에 스터디를 하면서 <차라투스트라는 이렇게 말했다>를 다시 같이 읽었다. 나는 이 때 ‘영원회귀’라는 개념이 인간의 형식이라는 생각을 떠올렸는데, 그건 내가 영원회귀라는 개념을 생존의 방법론으로 채택했기 때문이다. 인간이 아니라면 이런 형태의 형식으로 생명을 유지할까 생각해 봤을 때, 자연에 흐르는 힘 자체를 인간이 이렇게 해석하는 것이 아닐까 싶었고, 그렇다면 그 방식이 자연의 일부인 인간에게도 가장 자연스러운 형식이 아닌가 싶기 때문이었다. 그걸 ‘영원회귀’라는 개념으로 응축하고 번역해서 삶에 적용하는 것 자체가, 그러니까 인간의 형식으로서의 영원회귀에 포함되는 것 같다. 이것은 인간적인, 너무나 인간적인 것이 아닐까.",H,7,2025년 4월 20일 오후 4:49 (GMT+9),2021,"목동, 서울",Study,S-2021-007-H-MIX,"공부, 삶, 작업, 철학",MIX
진리의 통일성은 캐물을 수 없다.,"학교에서 니체를 공부할 때 노트한 것 같은데, 지금 보니 무슨 말인지 잘 모르겠다. 하지만 진리란 ‘통일성이 매개없이 존재하는 것’이라는 말은 왜인지 지금 내가 삶의 방법론으로 즐겨 사용하는 ‘정신승리’의 근간이 된 것 같기도 하다.",M,6,2025년 4월 20일 오후 4:56 (GMT+9),2019,"목동, 서울",Study,S-2019-006-M-MIX,"공부, 철학",MIX
고양이,이건 그냥 귀여워서..,L,7,2025년 4월 20일 오후 4:59 (GMT+9),2019,"목동, 서울",Study,S-2019-007-L-MIX,철학,MIX
영웅의 비극,"조셉 캠벨을 공부하면서 영웅의 삶에 대해 깊은 관심을 가지게 되었다. 캠벨이 정리한 영웅 서사는 스토리의 기본이기도 하지만, 나는 그것보다 영웅이 하는 모험 자체, 그 모험에서 무엇을 얻고 무엇을 잃는지에 대해 더 관심이 많았다. 무엇보다 영웅은 자신이 속한 그룹을 위해 자신을 희생하는 사람이다. 한 인간이 지닌 개인적인 영역을 모두 희생하고 모험을 통해 시련을 겪고 얻은 것을 공동체에 바친다. 이 개념은 내게 무척 잔인하게 들렸는데, 동시에 개인적 특질에 대한 집착을 어느 정도 포기할 수 있게 하는 계기가 되었다.",M,8,2025년 4월 20일 오후 5:00 (GMT+9),2019,"목동, 서울",Unconsciousness,U-2019-008-M-MIX,"공부, 삶, 신화",MIX
내 삶의 테마,"일기에 쓴 것들을 테마로 삼아 나는 꾸준히 언어화하려는 욕망으로 살아온 것 같다. 이제 앞으로 10년은 지금까지의 10년(2014-2024)을 되돌아보고 파먹기만 하면서 살아도 좋겠다는 생각을 한다. 고운 체에 거르고, 정제하고, 세공하여 나의 언어로 만드는 작업을 하고 싶다. ",H,9,2025년 4월 20일 오후 5:10 (GMT+9),2019,"목동, 서울",Unconsciousness,U-2019-009-H-MIX,"삶, 일기",MIX
나르시시스트 찬가 (딜레당트),"친구가 다른 친구들과 운영하는 뉴스레터 딜레당트에 짧은 글을 실었다. 오래 전 글이라 이게 전문인지도 확실하지 않다. 일반적으로 칭송받기 어려운 것들의 칭송할 점을 찾아 찬미하는 것이 당시 내가 실험했던 일종의 저항 정신이었던 것 같다. 이런 것들은 너무도 쉽게 오인되어버리기 때문에 위험성을 늘 어느 정도는 갖고 있고, 나는 그 점까지 포함해서 안전한 저항을 즐겼다. 도파민 중독처럼 그 위험성은 내게 즉각적인 쾌락을 가져다 주었지만 동시에 일상에서 수많은 오해와 갈등을 불러일으키기도 했던 것 같다. ",M,6,2025년 4월 20일 오후 5:25 (GMT+9),2020,"홍익대학교, 서울",Work,W-2020-006-M-MIX,"예술, 작업",MIX
아폴론적-디오니소스적 예술,어떻게 꿈의 장면으로 구체화할 것인가에 대한 고민.,H,8,2025년 4월 20일 오후 5:30 (GMT+9),2021,"안국동, 서울",Study,S-2021-008-H-MIX,"예술, 철학",MIX
늘 아이러니한 문장들,"아마도 스터디에서 보르헤스를 읽을 때였던 것 같다. ",M,9,2025년 4월 20일 오후 5:32 (GMT+9),2021,"연남동, 서울",Work,W-2021-009-M-MIX,예술,MIX
요가 두타임 하고 쓴 일기,2017-18년의 끔찍한 고통을 딛고 나는 이제 고통을 사랑하는 사람이 되었다. ^_^.,M,10,2025년 4월 20일 오후 5:34 (GMT+9),2021,"연남동, 서울",Body,B-2021-010-M-MIX,"몸, 일기",MIX
직관은 언제나 모든 것을 알고 있다,"가끔 어떤 책이 강렬하게 떠오른다거나 해서 결국 책꽂이에서 그 책을 꺼내 아무 곳이나 펼쳤을 때, 그 당시 내가 해결해야 하는 가장 큰 문제에 대한 답을 얻을 때가 있었다. 나의 직관은 언제나 내게 필요한 것을 미리 알고, 가져다 준다. 나는 이제 그것을 믿지 않을 수 없고, 강렬하게 떠오르는 직감이 있으면 실행하고 무슨 일이 벌어나는지 관찰한다. 그것이 내게 좋지 않은 결과로 이어진 적은 아직까지 없는 것 같다. 하지만 이렇게 확신하는 순간, 반드시 확신하는 내용과 반대의 상황이 일어날 것이다. 너무 미신적인가?",H,11,2025년 4월 20일 오후 5:36 (GMT+9),2021,"연남동, 서울",Unconsciousness,U-2021-011-H-MIX,삶,MIX
나는 투명하게 들여다보이고 싶다.,"김복희 시인의 시집 날개에 있던 이 문장은 2021년부터 3년 간 내 인스타그램 프로필에 박혀 있었다. 나는 이제 조금 투명해졌고, 이 문구는 더 이상 필요하지 않게 되었다. 그 동안 새로 팔로잉한 사람들이 이게 무슨 말이냐고 종종 물었다.",M,12,2025년 4월 20일 오후 5:41 (GMT+9),2021,서울,Life,L-2021-012-M-MIX,삶,MIX
특정한 삶의 태도가 예술이 될 수 있을 때,"이 프로젝트도 그렇고 ‘삶이 예술이 될 수 있는가’ 라는 질문은 영원한 나의 동력이다. 당시에는 내가 현실에서 실제로 무엇을 했는지, 어떤 것을 할 수 있는지로 이 질문을 규명해내려고 시도했다. 지금 나는 삶이 예술이 될 수 있다고 생각하고, 그렇기에 이 삶 있는 그대로 괜찮다. 더할 나위 없다.",H,13,2025년 4월 20일 오후 5:44 (GMT+9),2021,서울,Art,A-2021-013-H-MIX,"삶, 예술, 일기, 작업",MIX
문화예술지 <낭각> 기획,이런 걸 만들려고 했었다. 이건 가짜다. 세상에 이미 존재하는 형식에 나를 맞추려 애쓴 흔적이다. 하지만 마지막 문장은 마음에 든다. 낭만의 도취에서 빠져나왔을 때 온전히 느낄 수 있는 낭만이란 얼마나 낭만적으로 존재하는가.,L,14,2025년 4월 20일 오후 5:46 (GMT+9),2021,서울,Art,A-2021-014-L-MIX,"예술, 작업",MIX
성스러운 관계,"내게는 무의식의 여정을 함께한 오랜 친구가 있다. 우리는 함께 어떤 일을 겪으면서 각자의 시련을 통과했고, 그건 1년 간 매일같이 했던 통화와 2주 간의 런던 여행을 지나 끊어지지 않는 성스러운 원을 만들었다. 우리는 이제 그 성스러운 원이 끊어지는 것마저 자연스러운 일로 받아들일 것이다. 하지만 아직 끊어지지 않고 우리는 서로 또 각자의 시간을 보내며 아직 여정을 함께하고 있다.",H,15,2025년 4월 20일 오후 5:49 (GMT+9),2021,서울,Unconsciousness,U-2021-015-H-MIX,"삶, 일기",MIX
무서운 진실!,"공부를 하지만 그것이 공부를 위한 공부가 아니라는 사실이 얼마나 위로와 기쁨이 되던지. 지금도 다시 공부를 하고 싶다는 생각이 많이 들지만, 아마 사회가 원하는 그런 종류의 공부가 아니라는 것이 나를 나태하게, 그리고 무식하게 만든다. ",M,16,2025년 4월 20일 오후 5:53 (GMT+9),2021,서울,Study,S-2021-016-M-MIX,"공부, 삶, 일기",MIX
