이름,2025 코멘트,강도,번호,생성일,연도,장소,층위,카드 ID,태그,형식
삶이 내게 주는 것들,짧게 끊어진 문장들과 단락의 구분이 이 글을 읽는 지금의 나를 오그라들게 한다. 하지만 이 프로젝트의 목적에 충실하기 위해 이런 일기도 포함시켰다. 사실 현실적으로 봤을 때 당시 내가 받은 것은 없었다(?). 내가 정신차리지 못할 만큼 힘들었던 압도감은 어디에서 기인한 것일까. 그냥 하루하루 생존을 실천하는 것이 힘겨웠던 것 같기도 하다.,M,17,2025년 4월 20일 오후 5:58 (GMT+9),2021,서울,Unconsciousness,U-2021-017-M-MIX,"삶, 일기",MIX
내 삶의 의미,"이 때 나는 땅에 닿지 않은 계단을 올라가는 꿈을 많이 꾸었다. 계단을 땅에 단단히 뿌리 박는 것, 그것이 당시 삶의 과제였다. 지금은 맨 발로 부드럽고 촉촉한 흙을 거닐듯 살고 있다. 그렇게 살고 싶다.",H,7,2025년 4월 20일 오후 6:03 (GMT+9),2020,서울,Life,L-2020-007-H-MIX,"공부, 삶, 일기",MIX
<마카로니 앤 치즈>가 탄생한 순간,애인의 권유로 소설 수업을 듣기 시작했다. 지윤이 추천해 준 소설 선생님의 수업이었다. 첫 수업인지 두 번째 수업에서 아래와 같은 글을 적었다. 이 메모는 곧 <마카로니 앤 치즈>라는 엽편 소설로 자라난다. 나는 분명 그 소설에서 나의 소설가적 역량을 발견했다고 믿는다. 지금은 소설을 쓰지 않지만 말이다.,M,3,2025년 4월 20일 오후 6:07 (GMT+9),2022,서울,Art,A-2022-003-M-MIX,작업,MIX
나는 왜 논문을 쓰는가,"나는 아직도 논문을 쓰지 않았다. 논문을 쓸 수 있는 기한(8개월)이 얼마 남지 않았기 때문에 아마 앞으로도 쓰지 못할 것이다. 이 일기가 내가 논문을 쓰는 이유라면 아마 쓰지 않는 것이 맞을 것이다. ",H,4,2025년 4월 20일 오후 6:10 (GMT+9),2022,서울,Unconsciousness,U-2022-004-H-MIX,,MIX
들뜨는 것에 대하여,카셀 도큐멘타에 가기로 결심하고 항공권을 끊은 날인가 보다. 지금 생각해보면 카셀은 아주 좋진 않았다. 나는 세계가 인정하는 큐레이터(루앙루파라는 인도네시아의 콜렉티브였다)가 선정한 수많은 예술 작품들에 둘러싸여 유리된 기분을 느꼈던 것 같다. 반복되는 무의미함. 나는 무엇을 원하고 무엇을 하고 있는가.,M,5,2025년 4월 20일 오후 6:12 (GMT+9),2022,서울,Unconsciousness,U-2022-005-M-MIX,,MIX
미술계의 문제점,"결국 나는 브랜딩 업계의 PM으로 이직했다. 미술계의 문제점은 내 몫이 아니고, 아무도 그 문제를 해결하고자 하지 않는다. 어쩌면 문제가 아니었을지도 모르겠다. 최근에는 화랑미술제에 초대받았지만 아침에 벌떡 일어나 ‘내가 거길 왜 가, 어떻게 벗어났는데’ 하며 가지 않았다. 지금에 와서야 인정한다. 나는 미술계에 받아들여지고 싶었지만 미술계는 아무나 받아들이지 않는다. 이젠 내가 사람들을 받아들일 영역을 스스로 만들고 싶다. 안되면 말고. 나 자신이나 받아들이자..",M,6,2025년 4월 20일 오후 6:17 (GMT+9),2022,서울,Work,W-2022-006-M-MIX,일,MIX
영적인 것이 사이비로 느껴지는 이유,이건 내 개인적인 결핍으로 기인한 이유인 것 같다. 여전히 자본주의 사회에서 당당하게 살기란 도전과제이지만 몰래 저항하기 같은 비밀스러운 힘으로 나는 조금씩 버티는 힘을 기르는 중이다. 그리고 여전히 돈은 많이 벌고 싶다. 그럼 더 큰 스케일로 저항할 수 있다고(?).,M,7,2025년 4월 20일 오후 6:20 (GMT+9),2022,서울,Unconsciousness,U-2022-007-M-MIX,삶,MIX
객관적 확인 필요,"얼마 전 ChatGPT에게 지금까지 나와의 대화를 통해서 내 강점, 약점, 무의식적 편향을 알려달라고 했는데, 아래 일기로 쓴 내용이 있었다. 자기 자신을 객관적으로 파악하고 싶어함, 감각하고 파악한 내용들을 언어화하고 싶어 함, 추상적으로 사유하지만 삶을 관통하는 질문을 하나 방향성으로 가져가고 싶어 함. 나는 삶이 내게 주는 우연을 이제 기꺼이 받아들이는 사람이 되었다. 보람있다.",M,8,2025년 4월 20일 오후 6:26 (GMT+9),2022,서울,Unconsciousness,U-2022-008-M-MIX,"삶, 일기",MIX
고백,"시간까지 적어 둔 것은 조금 소름돋는다. 하지만 그때의 나는 이 말을 들었을 때 얼마나 기뻤을까. 누군가 나를 알아봐주기를 얼마나 바래왔을까. ",L,9,2025년 4월 20일 오후 6:30 (GMT+9),2022,서울,Life,L-2022-009-L-MIX,삶,MIX
인생은 마법같은 순간들로 가득차 있다.,,M,9,2025년 4월 20일 오후 6:32 (GMT+9),2016,대구,Art,A-2016-009-M-MIX,"삶, 예술, 인스타그램",MIX
"이우환, 여백의 예술",졸업 작품 주제를 이우환 작가로 정해 책도 읽고 전시도 봤다. 지금 생각해보면 당시 읽은 책의 영향을 많이 받은 것 같기도. 특히 타인과의 관계에 너무 취약해 두려워하면서도 계속 부딪히는 경험을 만들려고 하는 지점이.,M,10,2025년 4월 20일 오후 6:33 (GMT+9),2016,대구,Art,A-2016-010-M-MIX,"삶, 예술, 인스타그램",MIX
Blow up,<현대 작가 연구>라는 사진과 수업에서 <Blow up>이라는 영화를 보고 쓴 글.,L,11,2025년 4월 20일 오후 6:36 (GMT+9),2016,대구,Art,A-2016-011-L-MIX,예술,MIX
선택의 자유,"어쩌면 내 인생에 선택이라고 할 만한 것들을 시작했던 때가 이쯤이었던 것 같다. 그전까지는 사는대로, 멋대로 살아지는 삶이었다. 그때로부터 수많은 나의 선택들이 지금의 나를 만들었다고 생각하면 아찔하기도 하고 안도의 숨이 나오기도 한다. 자유에 대한 진실.",L,12,2025년 4월 20일 오후 6:37 (GMT+9),2016,대구,Unconsciousness,U-2016-012-L-MIX,"공부, 철학",MIX
삶은 언제나 은총의 돌층계의 어디쯤이다,그러니까 삶의 아름다움을 적극적으로 받아들이기 시작한 때도 이때 쯤인 것 같지.,L,13,2025년 4월 20일 오후 6:39 (GMT+9),2016,대구,Art,A-2016-013-L-MIX,"삶, 예술, 인스타그램",MIX
"파울로 코엘료, 순례자",지금도 유효한 기도.,M,7,2025년 4월 20일 오후 6:40 (GMT+9),2017,대구,Unconsciousness,U-2017-007-M-MIX,"예술, 인스타그램",MIX
길,가끔은 짧은 시를 썼다. 이 길에 대한 모티프는 나중에 고려대학교 대학원 신문에 기고한 <길과 걸음>의 단초가 되었다.,H,8,2025년 4월 20일 오후 6:41 (GMT+9),2017,대구,Unconsciousness,U-2017-008-H-MIX,"인스타그램, 일기, 작업",MIX
우리 모두는 각자의 존재 이유와 가치가 있다.,"당시 나는 동시대 청년으로서의 정체성을 크게 갖고 있었던 것 같다. 지금은 그 정체성이라기 보다는 동시대를 살아가는 현대인으로써 어떤 치유의 방법론을 구체화하고 싶은 느낌이다. 내가 10년 간의 여정을 통해 얻은 것이 일종의 치유, 그리하여 삶을 삶대로 살아갈 수 있게 된 것이기 때문이다. 죽지 않고.",L,9,2025년 4월 20일 오후 6:43 (GMT+9),2017,대구,Life,L-2017-009-L-MIX,"삶, 인스타그램, 일기",MIX
포항과 플럭서스 정신,"최근 플럭서스 예술가들에 대한 칼럼을 <안티에그>에 기고했다. 공식 활동을 하는 에디터로써의 첫걸음이었다. 이건 갤러리에서 <아트 버스킹>이라는 프로젝트를 하며 포항 한달 살기를 하던 중, 포항 영일만항을 강타하는 강한 지진을 겪고 대구로 급히 대피했다가 다시 포항으로 돌아가며 쓴 글이다. 나는 다시 가고싶지 않았지만, 엄마가 오늘 죽더라도 사과나무를 심겠다고 다짐한 사람도 있지 않냐며 나를 포항행 차에 직접 데려다주었다. 여진은 멈출 생각이 없었고 나는 끊임없이 구릉거리는 포항 땅을 밟으며 어떤 큰 전환을 앞두고 있었다.",H,10,2025년 4월 20일 오후 6:45 (GMT+9),2017,포항,Life,L-2017-010-H-MIX,"삶, 예술, 인스타그램, 작업",MIX
나는 어느 순간 내가 정해둔 내가 되기를 포기했다.,,M,11,2025년 4월 20일 오후 6:49 (GMT+9),2017,포항,Unconsciousness,U-2017-011-M-MIX,"삶, 인스타그램",MIX
Leaking Territories,"내게 ‘예술’의 형식에 대한 인식을 완전히 깨뜨린, 그걸 직접 경험할 수 있는 예술 작품으로 만난 강렬한 작품. 뮌스터 조각 프로젝트는 도시 전체가 예술의 장이 되어 작품들이 전시되는 10년마다 열리는 예술 페스티발이다. 우연히 만난 이 작품은 퍼포머들이 끊임없이 서로의 몸을 얽었고, 퍼포먼스가 끝난 후에는 관람객들에게 키워드를 받아 주관적인 답변을 제시하는 인간 구글링 퍼포먼스를 했다. 나는 베니스 비엔날레와 카셀 도큐멘타에서 수많은 예술 작품들을 이미 만나고 뮌스터에 온 것이었지만, 이 작품이 몸에 깊이 각인되었다. ",H,12,2025년 4월 20일 오후 6:50 (GMT+9),2017,"뮌스터, 독일",Art,A-2017-012-H-MIX,"예술, 인스타그램",MIX
공부하기 싫을 때,조셉 캠벨의 <천의 얼굴을 가진 영웅>을 읽을 때였던 것 같다. 공부하기 싫을 때마다 나는 인스타그램에 뭘 올렸다.,L,13,2025년 4월 20일 오후 6:53 (GMT+9),2017,대구,Life,L-2017-013-L-MIX,인스타그램,MIX
너의 운명을 기쁜 마음으로 따르도록 해라.,지금 생각해보면 <우연에 순종하라>는 들뢰즈 뿐만 아니라 많은 곳에서 왔다는 생각이 든다. 영웅의 삶이나 파울로 코엘료의 책들.,H,14,2025년 4월 20일 오후 6:55 (GMT+9),2017,대구,Unconsciousness,U-2017-014-H-MIX,"삶, 신화",MIX
모더니즘과 관세음보살,무슨 얘기했는지 나도 알려줘..,L,16,2025년 4월 20일 오후 6:56 (GMT+9),2017,대구,Study,S-2017-016-L-MIX,인스타그램,MIX
작은 꿈 : 작업실,여전히 가지고 있는 꿈.,L,15,2025년 4월 20일 오후 6:56 (GMT+9),2017,대구,Life,L-2017-015-L-MIX,인스타그램,MIX
독일인의 사랑,좋아하던 동네 카페 사장님과 같이 책을 읽는 스터디를 했다. 이 책이 처음이자 마지막이었지만… 사장님과 서로의 비밀 하나씩을 공유했다. 나는 그 비밀을 영원히 아무 데에도 이야기하지 않을 생각이다. 그녀의 자유를 지킬 것이다.,L,17,2025년 4월 20일 오후 6:57 (GMT+9),2017,대구,Art,A-2017-017-L-MIX,인스타그램,MIX
없는 자신을 발명하는 일,그런 10년이 아니었을까.,H,18,2025년 4월 20일 오후 6:59 (GMT+9),2017,대구,Unconsciousness,U-2017-018-H-MIX,"삶, 예술, 인스타그램, 철학",MIX
제5원소,"주희가 쓴 극본에 <제6원소>라는 제목을 추천해주었다. 둘이 <제5원소>를 다시 같이 봤다. 이미 내용을 알고 연극을 보러 갔지만, 글로 읽는 것과 연극으로 보는 것의 차이가 그렇게 클 줄은 몰랐다. 나는 큰 충격을 받았다. <제6원소>는 우리 가족을 고발하는 이야기였기 때문이다.",L,19,2025년 4월 20일 오후 7:00 (GMT+9),2017,대구,Art,A-2017-019-L-MIX,,MIX
우리 탐험의 끝,순환 키워드.,M,20,2025년 4월 20일 오후 7:02 (GMT+9),2017,대구,Unconsciousness,U-2017-020-M-MIX,"삶, 예술",MIX
그리고 출발점,"예술 비평에 대한 스터디를 시작했다. 나는 이때 이미 예술 비평도 예술의 영역에 넣었다. 무엇이 들어가지 않을 수 있을까. 예술이란 그저 삶을 찬미하는 하나의 방법일 뿐인데. 그 스터디원들은 대학원 입학을 목표로 했고, 우리 스터디는 단 한방에 합격률 100%를 자랑한다. 서울에 와서는 함께 여행을 많이 했다.",L,21,2025년 4월 20일 오후 7:03 (GMT+9),2017,대구,Study,S-2017-021-L-MIX,"공부, 삶, 예술, 인스타그램, 작업",MIX
산다는 경험하는 것이지 삶의 의미에 대해 생각하고 앉아있는 것이 아니다.,맞다.,H,22,2025년 4월 20일 오후 7:05 (GMT+9),2017,대구,Life,L-2017-022-H-MIX,"삶, 예술, 인스타그램",MIX
미술사강좌,이런 것도 했다.,L,24,2025년 4월 20일 오후 7:06 (GMT+9),2017,대구,Work,W-2017-024-L-MIX,"인스타그램, 일",MIX
스스로 기획하는 인간 되기,그것은 성공적인가.,M,23,2025년 4월 20일 오후 7:06 (GMT+9),2017,대구,Art,A-2017-023-M-MIX,"삶, 예술, 인스타그램, 작업",MIX
아빠의 슬라이드 필름,기록이란 뭘까. 기억이란 뭘까.,L,4,2025년 4월 20일 오후 7:07 (GMT+9),2018,대구,Life,L-2018-004-L-MIX,"삶, 인스타그램",MIX
마지막 어휘,‘마지막 어휘’라는 걸 보니 아마 리처드 로티를 읽고 있었던 때였나보다. 사진은 당시 내 방.,L,5,2025년 4월 20일 오후 7:08 (GMT+9),2018,대구,Study,S-2018-005-L-MIX,"공부, 인스타그램, 철학",MIX
"아이러니스트, 리처드 로티","자아의 경계를 끊임없이 확장하고자 하는 삶. 그래, 이제 패턴이 보인다. 근데 확장하고 나서 무엇이 남는가. 남긴 하는가.",M,6,2025년 4월 20일 오후 7:09 (GMT+9),2018,대구,Study,S-2018-006-M-MIX,"공부, 예술, 인스타그램, 작업, 철학",MIX
"가장 사랑하는 것을 내보내고, 아예 죽여버려라.",영웅의 삶의 핵심은 개인적인 것을 희생해야 한다는 것. 여기서도 반복된다. 나는 지금도 많은 것들을 버리고 있다. 버릴수록 강해지는 기분이 든다. 그리고 더 외로워진다.,H,7,2025년 4월 20일 오후 7:10 (GMT+9),2018,대구,Unconsciousness,U-2018-007-H-MIX,"삶, 신화, 인스타그램",MIX
자신의 삶에 집중하는 삶,쉽진 않다.,L,8,2025년 4월 20일 오후 7:11 (GMT+9),2018,대구,Unconsciousness,U-2018-008-L-MIX,"인스타그램, 작업",MIX
사진을 하나도 안찍었다.,,M,9,2025년 4월 20일 오후 7:12 (GMT+9),2018,서울,Unconsciousness,U-2018-009-M-MIX,"인스타그램, 작업",MIX
미투운동,대한민국에 미투를 말할 수 없는 여성은 존재하지 않을 것이라 확신한다. (안할 수는 있겠다) 오랫동안 나를 지배하고 있던 권력에 대한 문제를 보다 의식화하게 된 계기.,M,10,2025년 4월 20일 오후 7:13 (GMT+9),2018,대구,Life,L-2018-010-M-MIX,"삶, 인스타그램",MIX
또 얼마나 변화하고 달라져 있을지,달라질 것을 기대하고 현재를 견디기. 적어도 도움은 되었던 것 같다. 이때까지만 해도 필름 카메라로 사진을 열심히 찍었던 것 같네..,L,11,2025년 4월 20일 오후 7:14 (GMT+9),2018,대구,Unconsciousness,U-2018-011-L-MIX,"공부, 삶, 인스타그램",MIX
무드,,L,12,2025년 4월 20일 오후 7:15 (GMT+9),2018,대구,Unconsciousness,U-2018-012-L-MIX,"인스타그램, 작업",MIX
정월대보름,,L,14,2025년 4월 20일 오후 7:16 (GMT+9),2018,대구,Life,L-2018-014-L-MIX,"삶, 인스타그램",MIX
실패에 대하여,"내가 ‘정신승리’라는 방법론을 놓지 못하는 이유가 있다. 영혼을 다친 큰 실패로부터 안전하게 빠져나오기 위해서는 정신 승리가 필수다. ",M,13,2025년 4월 20일 오후 7:16 (GMT+9),2018,대구,Unconsciousness,U-2018-013-M-MIX,"삶, 인스타그램",MIX
라이카 미니줌 사고,,L,15,2025년 4월 20일 오후 7:18 (GMT+9),2018,대구,Art,A-2018-015-L-MIX,"사진, 인스타그램, 작업",MIX
런던에서 만난 여성운동,,M,17,2025년 4월 20일 오후 7:19 (GMT+9),2018,런던 팔리아멘트,Life,L-2018-017-M-MIX,"삶, 예술, 인스타그램, 작업",MIX
런던 여행,이 런던 여행이 진과 함께 했던 여행이다. 우리는 매일 밥을 해먹고 미술관을 가서 작품을 보고 이야기를 나누고 나는 많이 울었다. 그리고 햄버거를 하나 사서 숙소로 돌아와 먹거나 저녁밥을 해먹고 잠에 들었다. 베드버그를 세 번 만났는데 아무런 피해를 입지 않았다. 에어비엔비 이불과 베개 커버를 교체했다. 신은 베드버그의 모습으로 온다. 2주 간 내가 갖고 있던 많은 문제들을 언어화했고 나는 조금씩 그 문제들을 해결하고 있다… 있나..?,H,16,2025년 4월 20일 오후 7:19 (GMT+9),2018,런던,Unconsciousness,U-2018-016-H-MIX,"삶, 여행, 인스타그램",MIX
우연에 순종한다는 것이란,카오스모스의 길.,H,18,2025년 4월 20일 오후 7:22 (GMT+9),2021,서울,Unconsciousness,U-2021-018-H-MIX,"삶, 작업, 철학",MIX
<나의 조형언어를 찾아서> 영국 세미나,"영국 런던, 요크, 옥스포드, 펜잔스 등 미술관, 박물관을 돌아다니며 진행된 2주 간의 세미나. 런던에서 ‘삼무(선생도 교실도 교재도 없는? 이었나)’철학을 중심으로  교육기관을 운영하고 있는 선생님이 기획 운영하는 미술 공부 세미나였다. 70대 화가부터 30대 큐레이터, 10대까지(70대 화가의 손자) 모든 연령대가 모여 있어 독특하고 흥미로웠다. 이 때 옥스포드 미술관에서 만난 크레타 섬 미술이 내게 ‘자유’에 대한 키워드를 깊이 각인시켜 주었다. 나는 몇 년 뒤 크레타 섬에서 발견된 코인에 새겨진 미로를 오른쪽 팔 안쪽에 새긴다. 이 세미나에 대해 할 말이 많은데 일단 시간 상 카드 하나로..",H,14,2025년 4월 20일 오후 7:23 (GMT+9),2016,영국,Art,A-2016-014-H-MIX,"공부, 여행, 예술, 인스타그램",MIX
구렁을 뛰어넘는 일,“생각하는 것만큼 넓진 않으리라”,H,18,2025년 4월 22일,2018,"KTX, 한강, 서울",Unconsciousness,U-2018-018-H-IMG,신화,IMG
수천 마리의 황금 사자,"철학 공부를 처음 할 때였나, 어떤 교양서에서 의자인지 시계인지 가만히 들여다보면 그 사물 안에 온 우주가 있다고 했다. 그 느낌은 <예술 사진> 수업을 들을 때 나의 시선이 움직일 때마다 프레임 안 공간과 화각이 순간 순간 완전히 달라지는 것을 인식할 때 다시 한 번 내게 왔다. “단 한 올의 터럭 속에서 ‘수천 마리의 황금 사자’를 인식하는 기쁨”은 지금까지도 내게 영향을 미치며 예술이란 “경험하는 마음으로 욕망과 두려움을 지나쳐 그 안에 위치한 깨달음까지 데려가는”것인 동시에 이우환의 점처럼 점 하나에서 삼라만상을 느낄 수 있게 하는 매개라는 생각을 하게 하고, 그렇기 때문에 나는 일상이 예술이 될 수 있다고 생각하는 것 같다.",H,19,2025년 4월 22일 오전 10:07 (GMT+9),2018,대구,Unconsciousness,U-2018-019-H-MIX,"삶, 신화, 인스타그램",MIX
연민과 합일,,H,10,2025년 4월 22일 오전 10:12 (GMT+9),2019,대구,Unconsciousness,U-2019-010-H-MIX,"삶, 신화, 인스타그램",MIX
The last holiday,"2024년도에 이 사진에 대한 글을 쓴 적이 있다. 최가은 선생님의 <나는 왜 쓰(려)는가> 수업에서 쓴 마지막 글이다. 조금 발췌해 볼까. 

”한강에 놓인 고가도로 위 석양을 반사하며 빛나는 차체를 보면 마틴 파의 ‘The last vacation’ 시리즈가 생각난다. 제목을 적으려고 보니 'vacation'이 아니라 'vacance(바캉스)'였던 것 같다. 검색을 하니 바캉스는 프랑스어로 번역된 제목이고, 마틴 파가 붙인 제목은 ‘The last resort’ 였다. 유원지 아닌 곳에서 유원지를 찾기 때문일까. 이 사진들이 떠오르는 것이 사진에서 드러나는 휴가철의 피로한 여파 때문인지 사진을 처음 봤을 당시의 내 상태 때문인지 모르겠다. 아마도 이 풍경이 나의 ‘마지막 유원지’인 모양인데, 그러니까 나는 한강을 그렇게 느끼는 것 같다. 그렇게 느끼게 된 후로 나는 강에 발을 걸친 고가도로를 볼때면 가로등이 세워진 높이 솟은 도로를 달리는 매끈한 자동차 윗면을 찍곤 했다. 평범한 은색 중형차면 더 좋았다. 마치 바캉스에 갔다 돌아오는 길인 것처럼. 일상에 돌아오기 싫은 마음을 마주하는 것처럼. 어쩌면 나는 영원히 강변에 조성된 자전거 길을 벗어나고 싶지 않았던 것일지도 모른다. 정확히 말하면 따릉이를 반납해야 할 적절한 구간을 벗어날 수 없었던 것이다. 한강을 벗어나면 내일이 있고, 쉬지 못하는 고양이가 있고, 더 많은 노인과 더 많은 비둘기가 있다. 침을 뱉는 더 많은 사람들, 더 많이 부딪히는 사람들, 더 많은 욕을 내뱉는 더 많은 사람들. 그리고 시간은 없었다. 삶을 감각할 시간, 글을 쓸 시간, 녹음을 할 시간, 잠시 멈춰 설 시간이.”",M,11,2025년 4월 22일 오전 10:13 (GMT+9),2019,대구,Art,A-2019-011-M-MIX,"사진, 예술, 인스타그램, 작업",MIX
나는 왜 쓰는가,"이 글을 쓰고 한동안 편지 외에 글을 쓰지 않았다. 글을 쓰는 이유를 알다가도 모른다. 글을 쓰는 법도, 글로 쓰고 싶은 것도.",H,1,2025년 4월 22일 오전 10:15 (GMT+9),2024,"말과활 아카데미, 서울",Art,A-2024-001-H-TXT,"삶, 예술, 일기, 작업",TXT
‘있었다’와 ‘있다’의 파편들이 주는 생의 위안,이 글은 정말이지 공유하고 싶지 않았다. 나 자신이 작아졌을 때 쓴 혼란한 글.,M,2,2025년 4월 22일 오전 10:19 (GMT+9),2024,"말과활아카데미, 서울",Art,A-2024-002-M-TXT,"글, 예술, 일기, 작업",TXT
벼룩의 의미가 무엇인지 아십니까,,L,12,2025년 4월 22일 오후 1:24 (GMT+9),2019,대구,Unconsciousness,U-2019-012-L-MIX,"인스타그램, 작업",MIX
고요한 시간들,,L,13,2025년 4월 22일 오후 1:37 (GMT+9),2019,대구,Life,L-2019-013-L-MIX,"삶, 인스타그램",MIX
이방인,,L,14,2025년 4월 22일 오후 1:39 (GMT+9),2019,"송정해수욕장, 부산",Life,L-2019-014-L-MIX,"여행, 인스타그램",MIX
시리지 않을 황홀함,"나는 심미성에 대해 오래 생각했다. 대학원에서 만난 교수님은 맹목적인 심미성의 위험을 강조했다. 탐미적인 인간을 비판한다. 이 글을 기점으로 나는 내가 가진 심미성을 알아보는 능력을 인정하기로 했다. 잃는 것도 아름다운 것이기 때문이다. 나는 이것을 아름답게 느끼는 것에 대해 오래 죄책감을 갖고 있었다. 하지만 나는 내가 잃은 많은 것들을 아름다움으로 찬미하고 축복하고 싶다. 잃은 것들은 내게 와서 무늬를 새기고 무늬들이 나를 이룬다. 아름다워진다. 

하지만 내게도 전혀 아름답지 않은 것이 있다. 그건 인간이 으뜸이라고 생각하는 태도다. 인간은 스스로 인간이라는 피할 수 없는 사실에 굴종할 때에만 아름다울 수 있다. ",M,15,2025년 4월 22일 오후 1:40 (GMT+9),2019,"홍익대학교, 서울",Life,L-2019-015-M-MIX,"삶, 인스타그램",MIX
이 마음으로 나는 할 수 있는 게 없어서 기력을 모두 소진해 보았다,"내가 밤을 가장 많이 샜던 시기가 아니었을까. 잠 들지 못하는 깊은 밤 나는 안양천을 달려 한강에 갔다. 무엇인가 붕 뜬 기분, 맘 편히 잘 수 없는 기분을 안고 어떻게든 체력을 소진해 지쳐 쓰러지기 위해 한강에 간 것이다. 달리면 몸이 땅에 붙는 느낌이 들고, 그럼 불안이 조금 잠재워졌다. 밤 풍경을 보거나 해가 뜬 풍경을 보고 자연을 몸에 가득 담아 돌아오면 내 몸도 겨우 잠들 수 있었다. ",M,8,2025년 4월 22일 오후 1:41 (GMT+9),2020,"목동, 서울",Body,B-2020-008-M-MIX,"삶, 인스타그램",MIX
가끔 그림을 그린다,,L,25,2025년 4월 23일 오후 12:36 (GMT+9),2017,대구,Art,A-2017-025-L-MIX,작업,MIX
가끔 그림을 그린다2,,L,16,2025년 4월 23일 오후 12:37 (GMT+9),2019,대구,Art,A-2019-016-L-MIX,작업,MIX
가끔 사진을 찍는다,"사진을 자주 크롭했다. 확대되어 잘리는 조각들은 전체 구도에서 작은 곳에 불과할 때가 많았는데, 그런 장면들이 좋았다. 있었는지도 모르고 지나가는 순간들. 하지만 분명 존재하는 순간들. 

길을 걸을 때면 그런 순간들이 너무 많아 나는 자주 정신을 차리지 못한다. 옆에 있는 사람과 대화를 하고 있어도 눈은 곧장 그런 장면들을 찾아내고, 참지 못하고 손가락을 펼치며 말을 끊는다. 햇빛을 받아 연녹색으로 빛나는 잎, 보석들이 굴러 떨어지며 내는 소리를 낼 것 같이 흔들리는 잎들에서 어떻게 눈을 뗄 수 있는지 나는 모른다.",L,26,2025년 4월 23일 오후 12:38 (GMT+9),2017,대구,Art,A-2017-026-L-MIX,"사진, 작업",MIX
빨간 집에 사는 소녀,"어제 책 모임에 다녀와 일기를 썼다. 쓰고 보니 마음에 들어 아침에 인현에게 보냈다. 마음에 들어 하는 것 같다. 우리는 서로에게 물들어 가는 것에 대해 이야기했고, 물드는 과정은 포 착 되 고 있다. 

감각 카드는 이제 완전히 내 삶에 들어왔다. 내 삶을 구성한다. Sencyclopedia(백감사전)은 하나의 태도다.",M,1,2025년 4월 24일 오전 12:00 (GMT+9),2025,"카우프로스터스, 서울",Art,A-2025-001-M-IMG,"몸, 예술",IMG
운동 (시),이 모든 힘의 운동.,H,,2025년 4월 27일 오후 1:03 (GMT+9),2020,서울,Art,A-2020--H-MIX,"삶, 예술, 작업",MIX